StationID,region,Location,TotalSessions,AvgWaitTime,PeakHours
W-015,Washington,Seattle,101,14 min,15-18
N-011,Nevada,Reno,636,7 min,15-18
N-012,Nevada,Las Vegas,3387,3 min,17-20
N-013,Nevada,Reno,4204,7 min,15-18
I-014,Illinois,Chicago,1513,10 min,15-18
N-014,Nevada,Reno,1566,10 min,15-18
C-023,Colorado,Boulder,2453,5 min,16-19
C-024,Colorado,Boulder,4609,12 min,17-20
F-010,Florida,Orlando,2825,3 min,18-21
A-011,Arizona,Tucson,965,3 min,17-20
NY-012,New York,Buffalo,3771,11 min,17-20
G-015,Georgia,Savannah,1311,7 min,15-18
T-015,Texas,Houston,1567,5 min,18-21
W-016,Washington,Spokane,459,4 min,16-19
W-017,Washington,Spokane,4400,4 min,16-19
F-011,Florida,Miami,2981,11 min,17-20
W-018,Washington,Seattle,1374,4 min,18-21
A-012,Arizona,Phoenix,3766,5 min,16-19
I-015,Illinois,Springfield,4642,8 min,17-20
NY-013,New York,New York City,3656,15 min,16-19
W-019,Washington,Seattle,124,11 min,17-20
NY-014,New York,New York City,205,7 min,15-18
C-025,California,San Francisco,2931,9 min,15-18
C-026,California,San Diego,3763,4 min,17-20
NY-015,New York,Albany,2137,4 min,15-18
I-016,Illinois,Chicago,2579,14 min,17-20
G-016,Georgia,Atlanta,2820,4 min,18-21
C-027,California,San Francisco,736,4 min,17-20
C-028,Colorado,Boulder,2908,4 min,18-21
N-015,Nevada,Las Vegas,3830,10 min,18-21
W-020,Washington,Spokane,4999,10 min,16-19
N-016,Nevada,Las Vegas,233,6 min,16-19
I-017,Illinois,Springfield,3851,12 min,17-20
F-012,Florida,Orlando,3778,5 min,18-21
A-013,Arizona,Phoenix,2735,8 min,16-19
W-021,Washington,Spokane,3788,5 min,15-18
NY-016,New York,Buffalo,722,10 min,15-18
C-029,Colorado,Denver,2519,5 min,18-21
C-030,Colorado,Denver,928,13 min,18-21
C-031,Colorado,Boulder,1129,11 min,15-18
C-032,Colorado,Boulder,2816,6 min,15-18
N-017,Nevada,Reno,281,8 min,18-21
G-017,Georgia,Atlanta,4289,4 min,16-19
NY-017,New York,Albany,377,11 min,16-19
I-018,Illinois,Springfield,3661,8 min,18-21
I-019,Illinois,Springfield,1646,7 min,17-20
N-018,Nevada,Reno,2484,11 min,17-20
I-020,Illinois,Springfield,770,11 min,15-18
N-019,Nevada,Reno,2471,12 min,17-20
T-016,Texas,Austin,1781,8 min,16-19
C-033,Colorado,Boulder,4068,6 min,15-18
A-014,Arizona,Tucson,2055,11 min,15-18
N-020,Nevada,Las Vegas,1961,9 min,15-18
I-021,Illinois,Chicago,2893,14 min,16-19
C-034,California,San Francisco,1794,12 min,17-20
G-018,Georgia,Atlanta,1800,12 min,17-20
C-035,California,San Diego,348,13 min,18-21
NY-018,New York,Albany,3073,7 min,16-19
I-022,Illinois,Springfield,3815,6 min,18-21
I-023,Illinois,Chicago,1793,8 min,17-20
C-036,Colorado,Boulder,2053,5 min,17-20
G-019,Georgia,Savannah,797,15 min,15-18
W-022,Washington,Seattle,3690,15 min,16-19
T-017,Texas,Austin,3076,7 min,17-20
NY-019,New York,Albany,3334,14 min,17-20
T-018,Texas,Austin,256,4 min,18-21
A-015,Arizona,Tucson,765,5 min,18-21
C-037,California,Los Angeles,3411,9 min,16-19
A-016,Arizona,Phoenix,4209,10 min,16-19
C-038,Colorado,Denver,3717,10 min,17-20
C-039,Colorado,Denver,4548,6 min,17-20
W-023,Washington,Seattle,4096,14 min,16-19
NY-020,New York,Albany,4297,4 min,16-19
A-017,Arizona,Tucson,4813,14 min,18-21
T-019,Texas,Houston,1274,5 min,18-21
N-021,Nevada,Reno,767,14 min,16-19
NY-021,New York,Buffalo,762,12 min,17-20
I-024,Illinois,Chicago,4990,3 min,15-18
A-018,Arizona,Phoenix,1992,7 min,15-18
W-024,Washington,Seattle,559,5 min,17-20
NY-022,New York,Albany,4071,5 min,15-18
C-040,California,Los Angeles,1895,7 min,18-21
F-013,Florida,Miami,4355,6 min,16-19
W-025,Washington,Spokane,2848,6 min,17-20
A-019,Arizona,Tucson,2841,5 min,15-18
W-026,Washington,Seattle,3284,7 min,17-20
I-025,Illinois,Chicago,3747,14 min,15-18
C-041,Colorado,Denver,4745,14 min,17-20
T-020,Texas,Austin,1468,14 min,15-18
C-042,California,San Diego,2183,6 min,18-21
N-022,Nevada,Reno,3020,13 min,15-18
A-020,Arizona,Phoenix,489,15 min,17-20
NY-023,New York,Albany,1451,11 min,17-20
F-014,Florida,Miami,1973,15 min,15-18
T-021,Texas,Austin,910,11 min,18-21
N-023,Nevada,Reno,4745,11 min,15-18
F-015,Florida,Miami,1784,11 min,18-21
NY-024,New York,New York City,4000,8 min,16-19
G-020,Georgia,Savannah,4872,12 min,15-18
A-021,Arizona,Tucson,1903,13 min,18-21
G-021,Georgia,Atlanta,339,14 min,17-20
A-022,Arizona,Tucson,1353,6 min,17-20
I-026,Illinois,Chicago,4054,8 min,17-20
C-043,California,Los Angeles,3955,3 min,17-20
W-027,Washington,Spokane,1747,13 min,16-19
N-024,Nevada,Reno,4803,11 min,15-18
A-023,Arizona,Phoenix,3620,13 min,17-20
N-025,Nevada,Reno,1540,11 min,16-19
G-022,Georgia,Savannah,4048,7 min,17-20
NY-025,New York,New York City,1492,12 min,17-20
G-023,Georgia,Savannah,1007,7 min,18-21
I-027,Illinois,Springfield,3305,15 min,15-18
A-024,Arizona,Tucson,993,7 min,18-21
A-025,Arizona,Tucson,4290,12 min,18-21
A-026,Arizona,Phoenix,1744,13 min,17-20
W-028,Washington,Spokane,547,5 min,15-18
I-028,Illinois,Chicago,4581,6 min,18-21
A-027,Arizona,Phoenix,3179,10 min,16-19
C-044,California,San Francisco,2890,11 min,18-21
T-022,Texas,Dallas,2009,7 min,16-19
N-026,Nevada,Reno,3000,8 min,18-21
NY-026,New York,Buffalo,3740,11 min,15-18
W-029,Washington,Seattle,598,3 min,15-18
F-016,Florida,Miami,4493,8 min,17-20
C-045,California,San Francisco,3320,9 min,18-21
I-029,Illinois,Springfield,767,3 min,17-20
A-028,Arizona,Phoenix,1312,12 min,17-20
W-030,Washington,Spokane,1615,11 min,16-19
I-030,Illinois,Springfield,1333,14 min,16-19
C-046,Colorado,Boulder,1032,12 min,17-20
C-047,Colorado,Denver,2975,9 min,15-18
NY-027,New York,Buffalo,3692,4 min,16-19
T-023,Texas,Dallas,2511,3 min,15-18
W-031,Washington,Spokane,3399,6 min,18-21
F-017,Florida,Miami,757,14 min,16-19
C-048,California,Los Angeles,1974,8 min,16-19
F-018,Florida,Tampa,1353,8 min,18-21
I-031,Illinois,Springfield,317,4 min,15-18
C-049,Colorado,Denver,115,4 min,16-19
NY-028,New York,Albany,4326,11 min,16-19
A-029,Arizona,Phoenix,1998,14 min,15-18
NY-029,New York,Albany,1946,7 min,16-19
F-019,Florida,Orlando,2720,10 min,15-18
C-050,Colorado,Boulder,2049,14 min,15-18
F-020,Florida,Tampa,2838,7 min,16-19
G-024,Georgia,Atlanta,3756,6 min,17-20
T-024,Texas,Austin,1430,5 min,15-18
C-051,Colorado,Boulder,1464,10 min,15-18
C-052,California,San Francisco,2184,9 min,17-20
N-027,Nevada,Las Vegas,1268,13 min,18-21
NY-030,New York,Albany,2761,4 min,16-19
T-025,Texas,Austin,1024,3 min,16-19
W-032,Washington,Spokane,636,15 min,18-21
F-021,Florida,Miami,568,5 min,15-18
C-053,Colorado,Denver,4740,14 min,18-21
A-030,Arizona,Tucson,899,14 min,16-19
A-031,Arizona,Tucson,100,5 min,17-20
C-054,California,San Diego,389,8 min,18-21
C-055,California,San Diego,3068,15 min,18-21
F-022,Florida,Orlando,2797,8 min,17-20
N-028,Nevada,Las Vegas,2624,9 min,16-19
W-033,Washington,Seattle,4184,10 min,17-20
NY-031,New York,New York City,4099,12 min,15-18
A-032,Arizona,Tucson,3264,13 min,15-18
NY-032,New York,New York City,3206,12 min,18-21
N-029,Nevada,Reno,958,10 min,18-21
I-032,Illinois,Chicago,4365,6 min,18-21
W-034,Washington,Seattle,4472,3 min,17-20
G-025,Georgia,Savannah,1089,13 min,18-21
G-026,Georgia,Savannah,2112,11 min,17-20
C-056,Colorado,Boulder,502,14 min,18-21
W-035,Washington,Spokane,2036,14 min,17-20
N-030,Nevada,Las Vegas,4052,15 min,15-18
NY-033,New York,New York City,3772,7 min,15-18
I-033,Illinois,Springfield,3290,9 min,16-19
C-057,Colorado,Denver,2566,15 min,17-20
F-023,Florida,Miami,2197,15 min,15-18
C-058,Colorado,Boulder,2481,7 min,18-21
I-034,Illinois,Springfield,4182,3 min,16-19
N-031,Nevada,Las Vegas,1506,13 min,16-19
I-035,Illinois,Springfield,3395,4 min,16-19
C-059,California,San Francisco,3307,9 min,16-19
F-024,Florida,Tampa,4087,10 min,16-19
A-033,Arizona,Tucson,3630,14 min,17-20
F-025,Florida,Orlando,4045,6 min,17-20
F-026,Florida,Miami,124,4 min,16-19
C-060,California,San Francisco,851,4 min,16-19
I-036,Illinois,Springfield,4590,11 min,18-21
T-026,Texas,Dallas,3857,4 min,17-20
G-027,Georgia,Atlanta,3578,13 min,16-19
F-027,Florida,Tampa,4436,13 min,15-18
F-028,Florida,Orlando,1211,5 min,17-20
F-029,Florida,Orlando,2029,15 min,15-18
G-028,Georgia,Atlanta,892,8 min,15-18
I-037,Illinois,Springfield,1243,13 min,18-21
C-061,Colorado,Boulder,1232,6 min,16-19
NY-034,New York,New York City,500,11 min,17-20
N-032,Nevada,Las Vegas,4604,10 min,15-18
W-036,Washington,Seattle,3472,11 min,17-20
G-029,Georgia,Atlanta,3992,12 min,17-20
C-062,Colorado,Denver,2443,3 min,15-18
I-038,Illinois,Springfield,756,3 min,18-21
I-039,Illinois,Chicago,3247,15 min,17-20
C-063,Colorado,Boulder,1347,4 min,18-21
A-034,Arizona,Phoenix,1792,13 min,18-21
G-030,Georgia,Savannah,3430,5 min,16-19
A-035,Arizona,Phoenix,1182,15 min,18-21
A-036,Arizona,Tucson,3792,14 min,17-20
G-031,Georgia,Atlanta,2467,6 min,15-18
NY-035,New York,Albany,326,3 min,17-20
N-033,Nevada,Las Vegas,183,3 min,16-19
F-030,Florida,Miami,4924,8 min,16-19
W-037,Washington,Seattle,1733,12 min,17-20
T-027,Texas,Dallas,411,8 min,16-19
W-038,Washington,Spokane,1491,7 min,16-19
C-064,Colorado,Denver,3669,11 min,17-20
A-037,Arizona,Tucson,2875,8 min,16-19
G-032,Georgia,Savannah,331,9 min,17-20
F-031,Florida,Orlando,3341,11 min,16-19
A-038,Arizona,Phoenix,3551,12 min,18-21
C-065,California,San Francisco,3379,11 min,15-18
C-066,California,San Francisco,448,15 min,18-21
NY-036,New York,Albany,3381,14 min,16-19
T-028,Texas,Austin,2008,12 min,15-18
T-029,Texas,Dallas,1560,8 min,15-18
G-033,Georgia,Atlanta,3346,8 min,16-19
A-039,Arizona,Phoenix,783,12 min,17-20
W-039,Washington,Spokane,4067,11 min,16-19
A-040,Arizona,Tucson,693,8 min,15-18
C-067,Colorado,Denver,2673,4 min,17-20
C-068,Colorado,Denver,2463,6 min,18-21
C-069,Colorado,Boulder,2181,7 min,18-21
C-070,Colorado,Boulder,4456,10 min,15-18
C-071,California,San Francisco,3570,13 min,15-18
N-034,Nevada,Reno,849,15 min,16-19
G-034,Georgia,Atlanta,4110,5 min,16-19
A-041,Arizona,Phoenix,2587,3 min,15-18
I-040,Illinois,Springfield,132,13 min,17-20
C-072,California,Los Angeles,857,11 min,18-21
W-040,Washington,Spokane,2599,6 min,16-19
I-041,Illinois,Springfield,3107,11 min,18-21
A-042,Arizona,Tucson,287,3 min,16-19
G-035,Georgia,Savannah,556,3 min,17-20
F-032,Florida,Orlando,2383,13 min,16-19
C-073,California,Los Angeles,191,9 min,15-18
G-036,Georgia,Savannah,3015,10 min,15-18
G-037,Georgia,Atlanta,1678,10 min,18-21
C-074,Colorado,Denver,4920,9 min,18-21
C-075,California,Los Angeles,2491,10 min,18-21
W-041,Washington,Spokane,1180,10 min,15-18
T-030,Texas,Houston,3318,3 min,17-20
G-038,Georgia,Savannah,1130,14 min,16-19
T-031,Texas,Austin,208,4 min,16-19
A-043,Arizona,Phoenix,2129,7 min,16-19
N-035,Nevada,Reno,4328,12 min,15-18
N-036,Nevada,Reno,1495,15 min,16-19
T-032,Texas,Dallas,4673,10 min,18-21
I-042,Illinois,Chicago,3700,3 min,17-20
NY-037,New York,Buffalo,3168,9 min,16-19
F-033,Florida,Tampa,120,15 min,16-19
N-037,Nevada,Las Vegas,3144,3 min,16-19
C-076,California,San Diego,413,4 min,16-19
A-044,Arizona,Phoenix,3340,14 min,18-21
NY-038,New York,Albany,3519,13 min,18-21
N-038,Nevada,Reno,1545,7 min,18-21
A-045,Arizona,Tucson,3672,15 min,15-18
I-043,Illinois,Chicago,490,12 min,15-18
C-077,Colorado,Boulder,3761,9 min,17-20
G-039,Georgia,Savannah,2759,5 min,17-20
W-042,Washington,Spokane,3109,4 min,15-18
NY-039,New York,Albany,3890,3 min,17-20
C-078,Colorado,Denver,1681,15 min,17-20
C-079,California,San Diego,4101,11 min,16-19
NY-040,New York,New York City,2170,3 min,16-19
N-039,Nevada,Reno,393,13 min,15-18
NY-041,New York,New York City,781,14 min,18-21
T-033,Texas,Dallas,3687,15 min,15-18
W-043,Washington,Spokane,1469,4 min,15-18
W-044,Washington,Seattle,2670,6 min,16-19
T-034,Texas,Houston,3228,8 min,16-19
N-040,Nevada,Reno,4326,10 min,15-18
G-040,Georgia,Savannah,3694,3 min,18-21
G-041,Georgia,Atlanta,1243,6 min,16-19
G-042,Georgia,Savannah,4410,14 min,15-18
NY-042,New York,New York City,4062,7 min,16-19
G-043,Georgia,Savannah,3239,12 min,15-18
G-044,Georgia,Atlanta,2847,4 min,16-19
N-041,Nevada,Las Vegas,3726,4 min,17-20
I-044,Illinois,Chicago,1108,8 min,15-18
C-080,Colorado,Denver,3036,3 min,16-19
G-045,Georgia,Atlanta,3418,13 min,15-18
A-046,Arizona,Phoenix,404,7 min,18-21
F-034,Florida,Miami,1427,11 min,15-18
N-042,Nevada,Las Vegas,1077,10 min,16-19
W-045,Washington,Spokane,4395,15 min,18-21
C-081,Colorado,Boulder,1012,14 min,18-21
NY-043,New York,Albany,245,11 min,17-20
C-082,California,San Francisco,333,5 min,15-18
I-045,Illinois,Springfield,3035,11 min,17-20
I-046,Illinois,Chicago,1256,12 min,17-20
NY-044,New York,Buffalo,3585,15 min,17-20
N-043,Nevada,Las Vegas,3436,4 min,18-21
W-046,Washington,Seattle,1088,10 min,15-18
NY-045,New York,Albany,186,9 min,17-20
C-083,Colorado,Denver,2947,4 min,18-21
I-047,Illinois,Chicago,3431,11 min,17-20
C-084,California,Los Angeles,2492,14 min,16-19
T-035,Texas,Austin,4453,14 min,16-19
C-085,Colorado,Denver,558,12 min,15-18
W-047,Washington,Seattle,3934,6 min,17-20
A-047,Arizona,Tucson,1218,4 min,17-20
G-046,Georgia,Atlanta,893,14 min,15-18
F-035,Florida,Tampa,1921,15 min,15-18
C-086,Colorado,Denver,1718,9 min,17-20
A-048,Arizona,Phoenix,1907,8 min,16-19
C-087,Colorado,Denver,4554,9 min,15-18
N-044,Nevada,Reno,2690,14 min,17-20
C-088,California,San Francisco,4484,13 min,18-21
I-048,Illinois,Springfield,685,8 min,18-21
C-089,Colorado,Boulder,4505,15 min,17-20
I-049,Illinois,Chicago,1292,13 min,18-21
C-090,Colorado,Boulder,4119,6 min,17-20
F-036,Florida,Orlando,4533,9 min,17-20
C-091,California,San Diego,3232,5 min,18-21
G-047,Georgia,Atlanta,4149,4 min,17-20
NY-046,New York,Albany,713,3 min,17-20
C-092,Colorado,Denver,3853,14 min,17-20
C-093,Colorado,Boulder,1588,12 min,18-21
I-050,Illinois,Springfield,4425,12 min,17-20
A-049,Arizona,Tucson,3794,4 min,16-19
T-036,Texas,Austin,3602,7 min,15-18
W-048,Washington,Spokane,1533,7 min,18-21
NY-047,New York,New York City,2614,11 min,17-20
W-049,Washington,Spokane,444,9 min,16-19
G-048,Georgia,Savannah,4828,6 min,18-21
F-037,Florida,Orlando,3963,15 min,17-20
T-037,Texas,Houston,2529,9 min,18-21
G-049,Georgia,Atlanta,406,9 min,15-18
G-050,Georgia,Savannah,725,8 min,17-20
NY-048,New York,Albany,4618,8 min,15-18
G-051,Georgia,Atlanta,688,14 min,18-21
W-050,Washington,Seattle,4495,15 min,16-19
C-094,Colorado,Boulder,1810,6 min,18-21
G-052,Georgia,Atlanta,2981,6 min,17-20
NY-049,New York,Buffalo,3569,4 min,16-19
N-045,Nevada,Las Vegas,138,7 min,16-19
NY-050,New York,Albany,1623,14 min,18-21
NY-051,New York,Albany,4456,8 min,16-19
G-053,Georgia,Atlanta,4621,9 min,18-21
G-054,Georgia,Savannah,1524,3 min,17-20
F-038,Florida,Tampa,4684,6 min,16-19
N-046,Nevada,Las Vegas,3725,13 min,17-20
I-051,Illinois,Springfield,1297,15 min,18-21
T-038,Texas,Houston,3384,12 min,18-21
G-055,Georgia,Atlanta,3680,15 min,15-18
I-052,Illinois,Chicago,1867,15 min,17-20
C-095,Colorado,Denver,4147,10 min,16-19
F-039,Florida,Orlando,4667,6 min,18-21
C-096,Colorado,Boulder,2924,15 min,18-21
W-051,Washington,Seattle,1350,6 min,17-20
C-097,Colorado,Boulder,4588,10 min,18-21
W-052,Washington,Spokane,1325,4 min,15-18
C-098,California,San Francisco,1876,12 min,17-20
W-053,Washington,Spokane,4947,7 min,17-20
T-039,Texas,Houston,726,6 min,15-18
N-047,Nevada,Reno,2361,7 min,17-20
F-040,Florida,Tampa,145,4 min,15-18
A-050,Arizona,Tucson,1031,14 min,17-20
N-048,Nevada,Reno,3462,10 min,15-18
N-049,Nevada,Las Vegas,1461,8 min,16-19
W-054,Washington,Spokane,3990,9 min,16-19
F-041,Florida,Miami,3932,7 min,16-19
G-056,Georgia,Savannah,3587,5 min,16-19
F-042,Florida,Miami,4949,7 min,18-21
G-057,Georgia,Savannah,2688,9 min,15-18
C-099,Colorado,Denver,1978,5 min,16-19
C-100,California,San Diego,4620,15 min,18-21
C-101,California,San Diego,2192,4 min,15-18
C-102,Colorado,Denver,2276,13 min,16-19
C-103,California,San Diego,3500,5 min,17-20
C-104,California,San Francisco,1607,8 min,15-18
C-105,California,Los Angeles,1904,6 min,16-19
G-058,Georgia,Savannah,4041,11 min,15-18
N-050,Nevada,Las Vegas,1758,13 min,16-19
A-051,Arizona,Tucson,354,5 min,16-19
G-059,Georgia,Savannah,1353,14 min,16-19
NY-052,New York,Albany,4591,9 min,15-18
C-106,California,San Francisco,2594,12 min,15-18
NY-053,New York,New York City,481,14 min,17-20
G-060,Georgia,Atlanta,207,13 min,18-21
N-051,Nevada,Reno,4720,8 min,17-20
A-052,Arizona,Tucson,4511,14 min,17-20
I-053,Illinois,Chicago,1752,6 min,16-19
C-107,California,San Francisco,943,3 min,15-18
G-061,Georgia,Atlanta,3920,10 min,17-20
F-043,Florida,Tampa,3520,12 min,15-18
C-108,California,San Diego,2351,4 min,16-19
W-055,Washington,Spokane,2429,14 min,15-18
NY-054,New York,Albany,4594,13 min,18-21
F-044,Florida,Orlando,2923,11 min,16-19
C-109,Colorado,Denver,1548,15 min,15-18
N-052,Nevada,Las Vegas,4167,15 min,17-20
C-110,California,Los Angeles,3891,5 min,17-20
I-054,Illinois,Chicago,519,3 min,16-19
W-056,Washington,Spokane,2859,13 min,17-20
N-053,Nevada,Las Vegas,736,15 min,15-18
A-053,Arizona,Tucson,3751,6 min,17-20
T-040,Texas,Austin,2984,3 min,18-21
I-055,Illinois,Chicago,4692,4 min,15-18
F-045,Florida,Miami,4636,7 min,17-20
C-111,California,San Diego,2097,9 min,18-21
T-041,Texas,Austin,3311,10 min,17-20
N-054,Nevada,Reno,3981,3 min,15-18
T-042,Texas,Houston,3167,12 min,16-19
C-112,Colorado,Denver,2608,13 min,18-21
A-054,Arizona,Tucson,4484,13 min,18-21
T-043,Texas,Austin,4805,5 min,15-18
I-056,Illinois,Chicago,1415,15 min,18-21
A-055,Arizona,Tucson,4889,7 min,15-18
T-044,Texas,Austin,1403,14 min,18-21
F-046,Florida,Tampa,4491,3 min,16-19
G-062,Georgia,Savannah,3476,4 min,16-19
A-056,Arizona,Tucson,2009,10 min,16-19
T-045,Texas,Dallas,3535,10 min,16-19
W-057,Washington,Seattle,736,9 min,17-20
C-113,California,Los Angeles,1188,8 min,15-18
N-055,Nevada,Las Vegas,827,13 min,16-19
G-063,Georgia,Savannah,2853,12 min,18-21
A-057,Arizona,Phoenix,820,5 min,17-20
W-058,Washington,Spokane,985,5 min,17-20
C-114,California,Los Angeles,4638,14 min,17-20
C-115,Colorado,Boulder,1443,10 min,15-18
A-058,Arizona,Phoenix,3192,13 min,18-21
A-059,Arizona,Phoenix,1209,15 min,15-18
G-064,Georgia,Savannah,3174,3 min,16-19
NY-055,New York,Albany,1963,11 min,17-20
F-047,Florida,Miami,3353,14 min,18-21
G-065,Georgia,Savannah,4613,8 min,15-18
A-060,Arizona,Phoenix,1915,5 min,18-21
C-116,California,San Diego,1393,9 min,15-18
T-046,Texas,Dallas,902,15 min,17-20
W-059,Washington,Seattle,1209,14 min,17-20
C-117,Colorado,Denver,3557,13 min,18-21
G-066,Georgia,Savannah,2451,3 min,18-21
NY-056,New York,Buffalo,4477,15 min,18-21
NY-057,New York,Albany,2384,8 min,17-20
T-047,Texas,Austin,2771,15 min,16-19
T-048,Texas,Austin,2085,11 min,15-18
F-048,Florida,Orlando,142,9 min,16-19
N-056,Nevada,Reno,211,15 min,15-18
C-118,Colorado,Denver,2282,14 min,15-18
W-060,Washington,Seattle,3004,3 min,17-20
NY-058,New York,Albany,4758,13 min,17-20
NY-059,New York,Buffalo,3282,3 min,18-21
G-067,Georgia,Savannah,4628,14 min,18-21
F-049,Florida,Tampa,3808,4 min,15-18
NY-060,New York,New York City,230,12 min,15-18
C-119,California,San Francisco,4315,7 min,15-18
G-068,Georgia,Savannah,1965,10 min,16-19
