region,category,parameter,mode,powertrain,year,unit,value
Washington,Commercial Vehicles,EV Sales,Buses,BEV,2023,Charging Point,48705.06
Nevada,Passenger Vehicles,EV Sales,Cars,PHEV,2019,Percent,32862.03
Washington,Commercial Vehicles,EV Sales,Bikes,BEV,2018,Percent,20420.66
Colorado,Passenger Vehicles,EV Sales,Bikes,PHEV,2022,Percent,27017.68
Florida,Commercial Vehicles,EV Sales,Cars,PHEV,2018,Charging Point,20565.22
California,Passenger Vehicles,EV Stock,Cars,BEV,2018,Vehicles,28703.06
California,Passenger Vehicles,EV Sales,Vans,BEV,2020,Percent,7685.11
Georgia,Commercial Vehicles,EV Sales,Buses,BEV,2024,Percent,6088.66
Florida,Passenger Vehicles,EV Stock,Bikes,PHEV,2020,Charging Point,26476.67
Arizona,Commercial Vehicles,EV Stock,Bikes,BEV,2018,Charging Point,3659.85
Texas,Commercial Vehicles,EV Stock,Bikes,PHEV,2019,Vehicles,14694.97
New York,Passenger Vehicles,EV Stock,Bikes,PHEV,2020,Vehicles,46352.06
California,Commercial Vehicles,EV Sales,Cars,PHEV,2022,Percent,43823.03
Illinois,Passenger Vehicles,EV Sales,Cars,PHEV,2018,Percent,41586.97
California,Commercial Vehicles,EV Sales,Buses,PHEV,2022,Charging Point,25407.47
Washington,Passenger Vehicles,EV Stock,Vans,PHEV,2024,Vehicles,1491.45
California,Commercial Vehicles,EV Stock,Cars,BEV,2023,Percent,6156.33
California,Commercial Vehicles,EV Sales,Bikes,BEV,2024,Charging Point,45980.61
Texas,Commercial Vehicles,EV Stock,Vans,PHEV,2022,Vehicles,41836.73
Texas,Commercial Vehicles,EV Sales,Bikes,PHEV,2022,Vehicles,18888.44
Nevada,Commercial Vehicles,EV Stock,Buses,BEV,2018,Vehicles,36475.88
Arizona,Commercial Vehicles,EV Sales,Cars,BEV,2021,Charging Point,42740.94
Illinois,Commercial Vehicles,EV Sales,Buses,BEV,2024,Vehicles,31054.75
California,Commercial Vehicles,EV Stock,Bikes,BEV,2023,Charging Point,42690.99
California,Passenger Vehicles,EV Sales,Cars,PHEV,2020,Charging Point,12309.23
New York,Commercial Vehicles,EV Stock,Cars,BEV,2022,Charging Point,23160.57
Texas,Commercial Vehicles,EV Sales,Cars,PHEV,2018,Vehicles,28994.19
Illinois,Commercial Vehicles,EV Sales,Cars,PHEV,2021,Percent,31594.76
Georgia,Commercial Vehicles,EV Stock,Buses,BEV,2018,Percent,49350.82
Nevada,Passenger Vehicles,EV Sales,Cars,BEV,2020,Charging Point,42311.97
Arizona,Commercial Vehicles,EV Stock,Vans,PHEV,2024,Charging Point,2857.52
Florida,Passenger Vehicles,EV Stock,Cars,PHEV,2024,Percent,8539.76
Arizona,Passenger Vehicles,EV Sales,Bikes,PHEV,2018,Vehicles,32891.38
Washington,Passenger Vehicles,EV Sales,Buses,PHEV,2024,Percent,12101.45
California,Passenger Vehicles,EV Stock,Vans,BEV,2019,Percent,8032.5
Nevada,Passenger Vehicles,EV Stock,Bikes,BEV,2023,Vehicles,33365.88
Washington,Passenger Vehicles,EV Stock,Cars,BEV,2019,Charging Point,26867.59
Illinois,Passenger Vehicles,EV Stock,Bikes,BEV,2024,Percent,40278.98
Florida,Commercial Vehicles,EV Stock,Buses,BEV,2022,Charging Point,16036.12
Texas,Commercial Vehicles,EV Stock,Buses,PHEV,2018,Vehicles,16552.23
Nevada,Commercial Vehicles,EV Sales,Cars,PHEV,2018,Vehicles,7609.55
Nevada,Passenger Vehicles,EV Stock,Vans,BEV,2022,Vehicles,32647.68
California,Commercial Vehicles,EV Stock,Buses,BEV,2022,Vehicles,35473.7
Colorado,Commercial Vehicles,EV Stock,Buses,PHEV,2024,Vehicles,7007.5
Nevada,Commercial Vehicles,EV Sales,Vans,PHEV,2023,Charging Point,12780.26
New York,Passenger Vehicles,EV Sales,Cars,BEV,2024,Vehicles,7798.14
Florida,Commercial Vehicles,EV Sales,Bikes,BEV,2021,Charging Point,37409.08
Florida,Commercial Vehicles,EV Stock,Cars,PHEV,2018,Vehicles,10533.98
New York,Passenger Vehicles,EV Sales,Cars,BEV,2020,Charging Point,7697.1
Georgia,Commercial Vehicles,EV Stock,Bikes,BEV,2020,Vehicles,3585.6
New York,Passenger Vehicles,EV Sales,Bikes,PHEV,2020,Vehicles,41581.84
New York,Passenger Vehicles,EV Stock,Cars,PHEV,2022,Charging Point,6286.56
Florida,Passenger Vehicles,EV Sales,Vans,PHEV,2022,Percent,1580.39
Arizona,Commercial Vehicles,EV Sales,Bikes,BEV,2022,Vehicles,3308.84
Florida,Commercial Vehicles,EV Stock,Buses,PHEV,2024,Charging Point,18404.86
Colorado,Commercial Vehicles,EV Stock,Cars,BEV,2020,Charging Point,29872.96
California,Passenger Vehicles,EV Sales,Buses,PHEV,2021,Percent,19970.41
Washington,Passenger Vehicles,EV Stock,Buses,BEV,2023,Vehicles,22824.81
Arizona,Commercial Vehicles,EV Stock,Bikes,BEV,2019,Percent,45973.34
Texas,Commercial Vehicles,EV Sales,Vans,PHEV,2018,Charging Point,37970.17
Washington,Commercial Vehicles,EV Stock,Buses,BEV,2019,Vehicles,17117.96
California,Passenger Vehicles,EV Stock,Cars,BEV,2018,Percent,7800.3
Colorado,Passenger Vehicles,EV Stock,Bikes,PHEV,2022,Vehicles,37483.71
Colorado,Passenger Vehicles,EV Stock,Buses,BEV,2020,Charging Point,28718.84
Texas,Commercial Vehicles,EV Sales,Cars,PHEV,2019,Percent,48116.11
Arizona,Passenger Vehicles,EV Stock,Cars,BEV,2022,Charging Point,45431.27
Georgia,Passenger Vehicles,EV Sales,Cars,PHEV,2018,Charging Point,28225.77
New York,Commercial Vehicles,EV Stock,Buses,PHEV,2023,Percent,3588.52
Arizona,Commercial Vehicles,EV Stock,Vans,BEV,2023,Percent,1644.89
Georgia,Commercial Vehicles,EV Stock,Buses,PHEV,2019,Percent,41892.27
Colorado,Passenger Vehicles,EV Sales,Vans,PHEV,2019,Charging Point,34932.3
Florida,Commercial Vehicles,EV Stock,Vans,BEV,2019,Vehicles,28051.85
California,Commercial Vehicles,EV Sales,Bikes,PHEV,2019,Vehicles,34477.37
Texas,Passenger Vehicles,EV Sales,Bikes,PHEV,2019,Vehicles,27035.36
California,Passenger Vehicles,EV Stock,Vans,PHEV,2022,Vehicles,28959.05
Illinois,Commercial Vehicles,EV Stock,Buses,PHEV,2024,Vehicles,11371.86
Illinois,Commercial Vehicles,EV Stock,Vans,BEV,2018,Vehicles,22829.67
Arizona,Passenger Vehicles,EV Stock,Vans,PHEV,2018,Percent,652.57
Colorado,Commercial Vehicles,EV Sales,Vans,PHEV,2021,Vehicles,33469.81
Colorado,Passenger Vehicles,EV Stock,Cars,PHEV,2024,Charging Point,16681.9
New York,Commercial Vehicles,EV Sales,Vans,BEV,2024,Charging Point,32850.58
New York,Passenger Vehicles,EV Sales,Cars,BEV,2020,Vehicles,46330.44
New York,Passenger Vehicles,EV Stock,Vans,PHEV,2023,Charging Point,29623
Florida,Commercial Vehicles,EV Stock,Buses,PHEV,2019,Charging Point,16471.44
Washington,Passenger Vehicles,EV Sales,Bikes,BEV,2023,Vehicles,10437.22
Nevada,Commercial Vehicles,EV Stock,Bikes,PHEV,2018,Percent,12660.25
Washington,Passenger Vehicles,EV Stock,Cars,PHEV,2020,Percent,49366.12
California,Commercial Vehicles,EV Sales,Vans,PHEV,2020,Vehicles,30806.62
Washington,Commercial Vehicles,EV Sales,Buses,PHEV,2022,Percent,22083.22
Florida,Commercial Vehicles,EV Sales,Cars,BEV,2019,Percent,11625.65
California,Passenger Vehicles,EV Stock,Buses,BEV,2021,Vehicles,38675.23
Washington,Passenger Vehicles,EV Sales,Vans,BEV,2020,Charging Point,19433.42
Florida,Commercial Vehicles,EV Stock,Bikes,BEV,2022,Percent,15126.22
Nevada,Commercial Vehicles,EV Stock,Vans,BEV,2019,Vehicles,11193.01
Washington,Commercial Vehicles,EV Stock,Vans,PHEV,2018,Charging Point,9363
Florida,Passenger Vehicles,EV Sales,Vans,BEV,2021,Percent,13741.51
New York,Commercial Vehicles,EV Stock,Bikes,PHEV,2019,Vehicles,31397.43
Colorado,Passenger Vehicles,EV Stock,Bikes,BEV,2022,Percent,12068.4
New York,Commercial Vehicles,EV Sales,Cars,PHEV,2023,Percent,3123.86
Colorado,Passenger Vehicles,EV Stock,Cars,BEV,2022,Vehicles,18015.32
Texas,Commercial Vehicles,EV Sales,Cars,BEV,2022,Charging Point,29284.11
Texas,Commercial Vehicles,EV Sales,Bikes,PHEV,2022,Vehicles,3104.88
Texas,Commercial Vehicles,EV Sales,Bikes,PHEV,2022,Charging Point,22686
Nevada,Commercial Vehicles,EV Sales,Vans,PHEV,2021,Vehicles,2709.21
New York,Commercial Vehicles,EV Stock,Vans,BEV,2020,Vehicles,38432.16
Colorado,Passenger Vehicles,EV Sales,Buses,BEV,2024,Percent,43606.94
Florida,Passenger Vehicles,EV Stock,Buses,PHEV,2020,Charging Point,48194.03
California,Commercial Vehicles,EV Stock,Cars,BEV,2024,Charging Point,34594.06
Florida,Passenger Vehicles,EV Sales,Vans,PHEV,2018,Charging Point,31640.01
California,Commercial Vehicles,EV Stock,Vans,BEV,2024,Percent,34734.45
Illinois,Passenger Vehicles,EV Sales,Buses,PHEV,2020,Vehicles,42746.94
Florida,Passenger Vehicles,EV Sales,Cars,PHEV,2022,Percent,40373.93
Washington,Passenger Vehicles,EV Sales,Vans,BEV,2020,Vehicles,21980.97
Washington,Commercial Vehicles,EV Stock,Buses,PHEV,2024,Vehicles,32588.55
Arizona,Passenger Vehicles,EV Sales,Cars,BEV,2023,Vehicles,8179.82
New York,Commercial Vehicles,EV Stock,Cars,BEV,2024,Vehicles,34776.79
California,Commercial Vehicles,EV Sales,Cars,BEV,2023,Vehicles,36565.45
California,Passenger Vehicles,EV Stock,Buses,PHEV,2020,Percent,40085.36
New York,Passenger Vehicles,EV Stock,Vans,PHEV,2022,Charging Point,40900.67
Nevada,Commercial Vehicles,EV Sales,Buses,PHEV,2024,Vehicles,22051.41
Arizona,Passenger Vehicles,EV Stock,Vans,BEV,2021,Percent,45185.49
Nevada,Commercial Vehicles,EV Sales,Vans,BEV,2022,Percent,49049.42
Nevada,Passenger Vehicles,EV Stock,Vans,PHEV,2020,Percent,48904.25
Nevada,Passenger Vehicles,EV Stock,Bikes,BEV,2020,Percent,29329.47
New York,Commercial Vehicles,EV Sales,Bikes,BEV,2018,Percent,28018.19
Nevada,Commercial Vehicles,EV Sales,Bikes,BEV,2022,Vehicles,22920.98
Washington,Passenger Vehicles,EV Stock,Cars,PHEV,2018,Charging Point,15059.73
Texas,Commercial Vehicles,EV Stock,Vans,PHEV,2018,Vehicles,16754.51
Illinois,Passenger Vehicles,EV Sales,Cars,PHEV,2019,Vehicles,10866.03
California,Commercial Vehicles,EV Stock,Buses,BEV,2023,Charging Point,47790.56
California,Passenger Vehicles,EV Sales,Vans,BEV,2018,Vehicles,31029.35
Illinois,Commercial Vehicles,EV Stock,Bikes,PHEV,2023,Charging Point,46729.71
New York,Commercial Vehicles,EV Stock,Buses,PHEV,2020,Vehicles,19417.57
Florida,Commercial Vehicles,EV Stock,Bikes,PHEV,2024,Charging Point,14979.92
New York,Passenger Vehicles,EV Sales,Buses,BEV,2020,Percent,6723.97
California,Commercial Vehicles,EV Stock,Vans,PHEV,2019,Charging Point,15082.27
California,Commercial Vehicles,EV Sales,Vans,PHEV,2019,Vehicles,44519.01
Illinois,Passenger Vehicles,EV Stock,Cars,PHEV,2024,Vehicles,29155.58
Nevada,Passenger Vehicles,EV Sales,Bikes,BEV,2022,Charging Point,22678.65
New York,Commercial Vehicles,EV Stock,Bikes,PHEV,2024,Percent,28455.65
Colorado,Passenger Vehicles,EV Stock,Vans,BEV,2019,Vehicles,44645.19
Illinois,Passenger Vehicles,EV Sales,Cars,PHEV,2021,Percent,9721.85
Washington,Commercial Vehicles,EV Stock,Cars,BEV,2020,Charging Point,48286.4
California,Passenger Vehicles,EV Sales,Bikes,PHEV,2020,Charging Point,33343.1
Illinois,Passenger Vehicles,EV Stock,Vans,PHEV,2023,Charging Point,42781.98
New York,Passenger Vehicles,EV Stock,Bikes,BEV,2019,Percent,26317.8
California,Commercial Vehicles,EV Sales,Vans,PHEV,2023,Percent,11908.23
Florida,Passenger Vehicles,EV Sales,Bikes,PHEV,2019,Charging Point,28414.97
Illinois,Passenger Vehicles,EV Sales,Vans,PHEV,2020,Charging Point,3490.18
Arizona,Commercial Vehicles,EV Sales,Cars,PHEV,2019,Charging Point,42624.54
California,Commercial Vehicles,EV Sales,Cars,BEV,2022,Percent,32514
New York,Passenger Vehicles,EV Sales,Bikes,BEV,2019,Percent,14214.57
Texas,Commercial Vehicles,EV Stock,Cars,BEV,2019,Percent,13796.02
Colorado,Passenger Vehicles,EV Stock,Bikes,BEV,2024,Charging Point,45150.02
Georgia,Commercial Vehicles,EV Sales,Cars,BEV,2022,Percent,42061.26
Nevada,Passenger Vehicles,EV Sales,Bikes,BEV,2022,Vehicles,38179.12
Georgia,Passenger Vehicles,EV Stock,Cars,BEV,2022,Percent,20798.12
New York,Commercial Vehicles,EV Stock,Vans,BEV,2023,Percent,43638
Washington,Commercial Vehicles,EV Stock,Cars,PHEV,2020,Vehicles,12419.82
Washington,Commercial Vehicles,EV Stock,Vans,PHEV,2024,Percent,1310.27
Texas,Passenger Vehicles,EV Stock,Cars,BEV,2019,Charging Point,21695.22
Nevada,Passenger Vehicles,EV Sales,Cars,BEV,2022,Vehicles,45984.31
Arizona,Commercial Vehicles,EV Stock,Vans,BEV,2022,Charging Point,28604.23
Texas,Commercial Vehicles,EV Stock,Buses,PHEV,2020,Vehicles,11548.84
Georgia,Commercial Vehicles,EV Sales,Bikes,BEV,2021,Percent,32575.98
Texas,Passenger Vehicles,EV Stock,Buses,BEV,2019,Vehicles,37274.79
Georgia,Passenger Vehicles,EV Sales,Cars,BEV,2021,Percent,27561.86
California,Passenger Vehicles,EV Sales,Bikes,BEV,2021,Percent,42145.64
Washington,Passenger Vehicles,EV Sales,Bikes,PHEV,2022,Charging Point,29659.39
California,Passenger Vehicles,EV Stock,Bikes,BEV,2023,Vehicles,4891.43
Colorado,Commercial Vehicles,EV Stock,Bikes,PHEV,2020,Vehicles,40496.3
