region,category,parameter,mode,powertrain,year,unit,value,total_vehicles_sold
Colorado,Commercial Vehicles,EV Stock,Vans,BEV,2020,Charging Point,9160.04,375
Washington,Passenger Vehicles,EV Stock,Buses,BEV,2021,Charging Point,4555.7,399
Illinois,Passenger Vehicles,EV Stock,Bikes,PHEV,2019,Vehicles,40840.69,455
Texas,Commercial Vehicles,EV Stock,Cars,PHEV,2022,Vehicles,44664,515
Illinois,Passenger Vehicles,EV Sales,Bikes,BEV,2020,Percent,17666.75,1256
Washington,Passenger Vehicles,EV Sales,Bikes,BEV,2021,Percent,17712.5,724
Georgia,Passenger Vehicles,EV Sales,Vans,PHEV,2020,Percent,19574.77,6576
Colorado,Commercial Vehicles,EV Stock,Bikes,BEV,2024,Vehicles,41398.35,1563
Colorado,Passenger Vehicles,EV Sales,Vans,BEV,2023,Charging Point,35382.89,278
California,Passenger Vehicles,EV Stock,Cars,BEV,2023,Charging Point,6186.62,5107
Colorado,Passenger Vehicles,EV Stock,Cars,PHEV,2019,Charging Point,31771.06,2
Arizona,Passenger Vehicles,EV Sales,Vans,BEV,2020,Charging Point,587.91,20
Colorado,Commercial Vehicles,EV Sales,Buses,PHEV,2024,Vehicles,35548.27,808
Washington,Commercial Vehicles,EV Stock,Vans,PHEV,2023,Percent,38255.15,1189
California,Commercial Vehicles,EV Stock,Vans,PHEV,2022,Percent,40765.93,1507
Washington,Passenger Vehicles,EV Sales,Bikes,BEV,2023,Percent,31319.57,281
Washington,Passenger Vehicles,EV Sales,Cars,BEV,2020,Vehicles,9111.35,561
New York,Passenger Vehicles,EV Sales,Cars,PHEV,2020,Percent,39707.96,747
California,Passenger Vehicles,EV Sales,Cars,PHEV,2021,Vehicles,44999.55,655
Washington,Passenger Vehicles,EV Stock,Vans,BEV,2024,Charging Point,31726.43,2906
New York,Passenger Vehicles,EV Stock,Vans,PHEV,2024,Vehicles,13828.38,289
New York,Commercial Vehicles,EV Sales,Cars,BEV,2020,Vehicles,9050.1,4
California,Commercial Vehicles,EV Sales,Vans,PHEV,2020,Percent,11650,1
Illinois,Passenger Vehicles,EV Sales,Cars,BEV,2019,Charging Point,943.52,552
Georgia,Commercial Vehicles,EV Sales,Bikes,BEV,2020,Vehicles,607.41,302
Arizona,Passenger Vehicles,EV Stock,Bikes,PHEV,2024,Vehicles,14922.22,14723
Georgia,Passenger Vehicles,EV Stock,Vans,PHEV,2021,Vehicles,46155.69,3295
Colorado,Passenger Vehicles,EV Stock,Buses,BEV,2024,Vehicles,31104.24,2249
Arizona,Commercial Vehicles,EV Sales,Cars,PHEV,2021,Percent,19366.74,411
Colorado,Passenger Vehicles,EV Sales,Bikes,PHEV,2024,Percent,641.29,1387
Washington,Passenger Vehicles,EV Stock,Buses,PHEV,2024,Percent,49486.04,452
Texas,Commercial Vehicles,EV Sales,Bikes,BEV,2022,Charging Point,22846.63,202
California,Passenger Vehicles,EV Sales,Cars,PHEV,2023,Percent,49575.99,22
Arizona,Commercial Vehicles,EV Sales,Cars,PHEV,2019,Vehicles,36034.98,21
Arizona,Commercial Vehicles,EV Sales,Bikes,PHEV,2018,Vehicles,2656.82,2372
Washington,Commercial Vehicles,EV Stock,Vans,PHEV,2022,Charging Point,42965.38,11
Illinois,Passenger Vehicles,EV Sales,Cars,BEV,2020,Charging Point,26566.93,70
New York,Commercial Vehicles,EV Stock,Buses,PHEV,2023,Vehicles,22691.15,195
Washington,Passenger Vehicles,EV Stock,Buses,BEV,2019,Percent,37916.8,288
Nevada,Commercial Vehicles,EV Sales,Vans,BEV,2022,Percent,38762.57,9
New York,Commercial Vehicles,EV Stock,Bikes,PHEV,2021,Vehicles,39841.84,332
California,Passenger Vehicles,EV Sales,Cars,PHEV,2019,Charging Point,38050.76,15
New York,Passenger Vehicles,EV Stock,Cars,BEV,2019,Vehicles,32099.38,4
Illinois,Commercial Vehicles,EV Sales,Vans,PHEV,2024,Charging Point,33813.55,125
New York,Passenger Vehicles,EV Sales,Cars,PHEV,2024,Percent,42943.27,126
California,Commercial Vehicles,EV Sales,Cars,BEV,2020,Percent,34557.98,722
Illinois,Passenger Vehicles,EV Sales,Buses,PHEV,2019,Vehicles,5157.74,5202
Georgia,Passenger Vehicles,EV Sales,Buses,PHEV,2023,Percent,32310.48,2063
Arizona,Passenger Vehicles,EV Sales,Bikes,PHEV,2024,Vehicles,8582.69,192
Arizona,Commercial Vehicles,EV Stock,Buses,BEV,2024,Vehicles,811.22,1145
Colorado,Passenger Vehicles,EV Stock,Bikes,PHEV,2023,Charging Point,10786.92,2
Georgia,Passenger Vehicles,EV Stock,Buses,BEV,2019,Vehicles,7804.81,727
Georgia,Commercial Vehicles,EV Stock,Bikes,BEV,2018,Vehicles,5194.58,565
New York,Commercial Vehicles,EV Sales,Cars,BEV,2024,Percent,10827.84,3
Arizona,Passenger Vehicles,EV Stock,Cars,PHEV,2020,Charging Point,28222.11,112
California,Commercial Vehicles,EV Stock,Buses,PHEV,2024,Charging Point,7658.34,89
Florida,Passenger Vehicles,EV Sales,Cars,BEV,2019,Charging Point,14043.97,18
Florida,Commercial Vehicles,EV Sales,Bikes,BEV,2019,Percent,42494.65,354
Illinois,Commercial Vehicles,EV Sales,Vans,PHEV,2018,Charging Point,44413.76,246
Arizona,Passenger Vehicles,EV Sales,Vans,PHEV,2018,Percent,16720.91,648
Arizona,Commercial Vehicles,EV Stock,Cars,BEV,2021,Charging Point,44957.66,298
Florida,Commercial Vehicles,EV Sales,Cars,PHEV,2020,Vehicles,29327.82,42
Arizona,Passenger Vehicles,EV Sales,Buses,BEV,2018,Charging Point,11395.78,54
New York,Passenger Vehicles,EV Stock,Buses,BEV,2019,Percent,37739.24,445
Nevada,Passenger Vehicles,EV Sales,Bikes,PHEV,2018,Percent,46112.5,185
Texas,Commercial Vehicles,EV Stock,Bikes,PHEV,2022,Vehicles,32995.87,467
Georgia,Passenger Vehicles,EV Sales,Vans,PHEV,2021,Vehicles,10146.4,994
Colorado,Commercial Vehicles,EV Sales,Bikes,BEV,2021,Percent,4385.42,661
Illinois,Passenger Vehicles,EV Stock,Cars,PHEV,2023,Charging Point,11547.66,4988
Nevada,Commercial Vehicles,EV Sales,Cars,PHEV,2020,Vehicles,16991.57,276
Florida,Passenger Vehicles,EV Stock,Buses,BEV,2021,Vehicles,16753.39,51
Georgia,Passenger Vehicles,EV Sales,Cars,BEV,2020,Charging Point,24977.44,552
Arizona,Passenger Vehicles,EV Stock,Bikes,PHEV,2022,Percent,25307.94,474
Colorado,Passenger Vehicles,EV Stock,Bikes,PHEV,2023,Vehicles,23624.49,68
Arizona,Passenger Vehicles,EV Stock,Buses,BEV,2019,Vehicles,17256.81,726
California,Passenger Vehicles,EV Sales,Bikes,BEV,2022,Percent,5430.84,1096
California,Passenger Vehicles,EV Sales,Buses,PHEV,2020,Charging Point,20974.08,219
Colorado,Commercial Vehicles,EV Sales,Cars,PHEV,2020,Charging Point,49289.44,583
Colorado,Passenger Vehicles,EV Stock,Buses,BEV,2020,Vehicles,32728.36,1039
Florida,Commercial Vehicles,EV Sales,Bikes,PHEV,2019,Percent,22044.89,866
Colorado,Passenger Vehicles,EV Sales,Bikes,BEV,2023,Charging Point,4266.18,2211
New York,Commercial Vehicles,EV Stock,Vans,BEV,2023,Percent,10741.11,352
Arizona,Commercial Vehicles,EV Stock,Buses,PHEV,2020,Vehicles,28774.9,406
Nevada,Passenger Vehicles,EV Sales,Bikes,PHEV,2022,Charging Point,24943.9,1126
Washington,Commercial Vehicles,EV Sales,Vans,BEV,2023,Percent,1057.83,758
Colorado,Passenger Vehicles,EV Sales,Cars,BEV,2019,Percent,4403.17,321
Illinois,Passenger Vehicles,EV Stock,Cars,BEV,2022,Vehicles,17864.83,3641
California,Passenger Vehicles,EV Sales,Cars,PHEV,2024,Charging Point,7127.21,5430
New York,Commercial Vehicles,EV Sales,Cars,BEV,2019,Vehicles,47896.35,30
Georgia,Commercial Vehicles,EV Sales,Cars,BEV,2020,Vehicles,1802.47,459
Washington,Commercial Vehicles,EV Sales,Buses,BEV,2023,Charging Point,48705.06,1016
Nevada,Passenger Vehicles,EV Sales,Cars,PHEV,2019,Percent,32862.03,561
Washington,Commercial Vehicles,EV Sales,Bikes,BEV,2018,Percent,20420.66,1041
Colorado,Passenger Vehicles,EV Sales,Bikes,PHEV,2022,Percent,27017.68,826
Florida,Commercial Vehicles,EV Sales,Cars,PHEV,2018,Charging Point,20565.22,1057
California,Passenger Vehicles,EV Stock,Cars,BEV,2018,Vehicles,28703.06,240
California,Passenger Vehicles,EV Sales,Vans,BEV,2020,Percent,7685.11,577
Georgia,Commercial Vehicles,EV Sales,Buses,BEV,2024,Percent,6088.66,763
Florida,Passenger Vehicles,EV Stock,Bikes,PHEV,2020,Charging Point,26476.67,2462
Arizona,Commercial Vehicles,EV Stock,Bikes,BEV,2018,Charging Point,3659.85,462
Texas,Commercial Vehicles,EV Stock,Bikes,PHEV,2019,Vehicles,14694.97,329
New York,Passenger Vehicles,EV Stock,Bikes,PHEV,2020,Vehicles,46352.06,87
California,Commercial Vehicles,EV Sales,Cars,PHEV,2022,Percent,43823.03,1260
Illinois,Passenger Vehicles,EV Sales,Cars,PHEV,2018,Percent,41586.97,637
California,Commercial Vehicles,EV Sales,Buses,PHEV,2022,Charging Point,25407.47,6036
Washington,Passenger Vehicles,EV Stock,Vans,PHEV,2024,Vehicles,1491.45,348
California,Commercial Vehicles,EV Stock,Cars,BEV,2023,Percent,6156.33,26
California,Commercial Vehicles,EV Sales,Bikes,BEV,2024,Charging Point,45980.61,444
Texas,Commercial Vehicles,EV Stock,Vans,PHEV,2022,Vehicles,41836.73,3492
Texas,Commercial Vehicles,EV Sales,Bikes,PHEV,2022,Vehicles,18888.44,1202
Nevada,Commercial Vehicles,EV Stock,Buses,BEV,2018,Vehicles,36475.88,1396
Arizona,Commercial Vehicles,EV Sales,Cars,BEV,2021,Charging Point,42740.94,905
Illinois,Commercial Vehicles,EV Sales,Buses,BEV,2024,Vehicles,31054.75,1465
California,Commercial Vehicles,EV Stock,Bikes,BEV,2023,Charging Point,42690.99,264
California,Passenger Vehicles,EV Sales,Cars,PHEV,2020,Charging Point,12309.23,681
New York,Commercial Vehicles,EV Stock,Cars,BEV,2022,Charging Point,23160.57,2736
Texas,Commercial Vehicles,EV Sales,Cars,PHEV,2018,Vehicles,28994.19,403
Illinois,Commercial Vehicles,EV Sales,Cars,PHEV,2021,Percent,31594.76,360
Georgia,Commercial Vehicles,EV Stock,Buses,BEV,2018,Percent,49350.82,1109
Nevada,Passenger Vehicles,EV Sales,Cars,BEV,2020,Charging Point,42311.97,570
Arizona,Commercial Vehicles,EV Stock,Vans,PHEV,2024,Charging Point,2857.52,5877
Florida,Passenger Vehicles,EV Stock,Cars,PHEV,2024,Percent,8539.76,289
Arizona,Passenger Vehicles,EV Sales,Bikes,PHEV,2018,Vehicles,32891.38,916
Washington,Passenger Vehicles,EV Sales,Buses,PHEV,2024,Percent,12101.45,1414
California,Passenger Vehicles,EV Stock,Vans,BEV,2019,Percent,8032.5,722
Nevada,Passenger Vehicles,EV Stock,Bikes,BEV,2023,Vehicles,33365.88,1886
Washington,Passenger Vehicles,EV Stock,Cars,BEV,2019,Charging Point,26867.59,283
Illinois,Passenger Vehicles,EV Stock,Bikes,BEV,2024,Percent,40278.98,650
Florida,Commercial Vehicles,EV Stock,Buses,BEV,2022,Charging Point,16036.12,567
Texas,Commercial Vehicles,EV Stock,Buses,PHEV,2018,Vehicles,16552.23,609
Nevada,Commercial Vehicles,EV Sales,Cars,PHEV,2018,Vehicles,7609.55,3015
Nevada,Passenger Vehicles,EV Stock,Vans,BEV,2022,Vehicles,32647.68,366
California,Commercial Vehicles,EV Stock,Buses,BEV,2022,Vehicles,35473.7,413
Colorado,Commercial Vehicles,EV Stock,Buses,PHEV,2024,Vehicles,7007.5,125
Nevada,Commercial Vehicles,EV Sales,Vans,PHEV,2023,Charging Point,12780.26,1262
New York,Passenger Vehicles,EV Sales,Cars,BEV,2024,Vehicles,7798.14,646
Florida,Commercial Vehicles,EV Sales,Bikes,BEV,2021,Charging Point,37409.08,5618
Florida,Commercial Vehicles,EV Stock,Cars,PHEV,2018,Vehicles,10533.98,330
New York,Passenger Vehicles,EV Sales,Cars,BEV,2020,Charging Point,7697.1,4496
Georgia,Commercial Vehicles,EV Stock,Bikes,BEV,2020,Vehicles,3585.6,4709
New York,Passenger Vehicles,EV Sales,Bikes,PHEV,2020,Vehicles,41581.84,28
New York,Passenger Vehicles,EV Stock,Cars,PHEV,2022,Charging Point,6286.56,287
Florida,Passenger Vehicles,EV Sales,Vans,PHEV,2022,Percent,1580.39,875
Arizona,Commercial Vehicles,EV Sales,Bikes,BEV,2022,Vehicles,3308.84,1442
Florida,Commercial Vehicles,EV Stock,Buses,PHEV,2024,Charging Point,18404.86,806
Colorado,Commercial Vehicles,EV Stock,Cars,BEV,2020,Charging Point,29872.96,1820
California,Passenger Vehicles,EV Sales,Buses,PHEV,2021,Percent,19970.41,328
Washington,Passenger Vehicles,EV Stock,Buses,BEV,2023,Vehicles,22824.81,592
Arizona,Commercial Vehicles,EV Stock,Bikes,BEV,2019,Percent,45973.34,692
Texas,Commercial Vehicles,EV Sales,Vans,PHEV,2018,Charging Point,37970.17,3843
Washington,Commercial Vehicles,EV Stock,Buses,BEV,2019,Vehicles,17117.96,326
California,Passenger Vehicles,EV Stock,Cars,BEV,2018,Percent,7800.3,376
Colorado,Passenger Vehicles,EV Stock,Bikes,PHEV,2022,Vehicles,37483.71,1036
Colorado,Passenger Vehicles,EV Stock,Buses,BEV,2020,Charging Point,28718.84,709
Texas,Commercial Vehicles,EV Sales,Cars,PHEV,2019,Percent,48116.11,5306
Arizona,Passenger Vehicles,EV Stock,Cars,BEV,2022,Charging Point,45431.27,15
Georgia,Passenger Vehicles,EV Sales,Cars,PHEV,2018,Charging Point,28225.77,167
New York,Commercial Vehicles,EV Stock,Buses,PHEV,2023,Percent,3588.52,849
Arizona,Commercial Vehicles,EV Stock,Vans,BEV,2023,Percent,1644.89,1101
Georgia,Commercial Vehicles,EV Stock,Buses,PHEV,2019,Percent,41892.27,888
Colorado,Passenger Vehicles,EV Sales,Vans,PHEV,2019,Charging Point,34932.3,1740
Florida,Commercial Vehicles,EV Stock,Vans,BEV,2019,Vehicles,28051.85,376
California,Commercial Vehicles,EV Sales,Bikes,PHEV,2019,Vehicles,34477.37,353
Texas,Passenger Vehicles,EV Sales,Bikes,PHEV,2019,Vehicles,27035.36,540
California,Passenger Vehicles,EV Stock,Vans,PHEV,2022,Vehicles,28959.05,352
Illinois,Commercial Vehicles,EV Stock,Buses,PHEV,2024,Vehicles,11371.86,336
Illinois,Commercial Vehicles,EV Stock,Vans,BEV,2018,Vehicles,22829.67,90
Arizona,Passenger Vehicles,EV Stock,Vans,PHEV,2018,Percent,652.57,950
Colorado,Commercial Vehicles,EV Sales,Vans,PHEV,2021,Vehicles,33469.81,766
Colorado,Passenger Vehicles,EV Stock,Cars,PHEV,2024,Charging Point,16681.9,5550
New York,Commercial Vehicles,EV Sales,Vans,BEV,2024,Charging Point,32850.58,358
New York,Passenger Vehicles,EV Sales,Cars,BEV,2020,Vehicles,46330.44,3963
New York,Passenger Vehicles,EV Stock,Vans,PHEV,2023,Charging Point,29623,150
Florida,Commercial Vehicles,EV Stock,Buses,PHEV,2019,Charging Point,16471.44,687
Washington,Passenger Vehicles,EV Sales,Bikes,BEV,2023,Vehicles,10437.22,1112
Nevada,Commercial Vehicles,EV Stock,Bikes,PHEV,2018,Percent,12660.25,1063
Washington,Passenger Vehicles,EV Stock,Cars,PHEV,2020,Percent,49366.12,1387
California,Commercial Vehicles,EV Sales,Vans,PHEV,2020,Vehicles,30806.62,311
Washington,Commercial Vehicles,EV Sales,Buses,PHEV,2022,Percent,22083.22,410
Florida,Commercial Vehicles,EV Sales,Cars,BEV,2019,Percent,11625.65,722
California,Passenger Vehicles,EV Stock,Buses,BEV,2021,Vehicles,38675.23,758
Washington,Passenger Vehicles,EV Sales,Vans,BEV,2020,Charging Point,19433.42,394
Florida,Commercial Vehicles,EV Stock,Bikes,BEV,2022,Percent,15126.22,388
Nevada,Commercial Vehicles,EV Stock,Vans,BEV,2019,Vehicles,11193.01,112
Washington,Commercial Vehicles,EV Stock,Vans,PHEV,2018,Charging Point,9363,858
Florida,Passenger Vehicles,EV Sales,Vans,BEV,2021,Percent,13741.51,671
New York,Commercial Vehicles,EV Stock,Bikes,PHEV,2019,Vehicles,31397.43,15
Colorado,Passenger Vehicles,EV Stock,Bikes,BEV,2022,Percent,12068.4,44
New York,Commercial Vehicles,EV Sales,Cars,PHEV,2023,Percent,3123.86,834
Colorado,Passenger Vehicles,EV Stock,Cars,BEV,2022,Vehicles,18015.32,1145
Texas,Commercial Vehicles,EV Sales,Cars,BEV,2022,Charging Point,29284.11,1599
Texas,Commercial Vehicles,EV Sales,Bikes,PHEV,2022,Vehicles,3104.88,354
Texas,Commercial Vehicles,EV Sales,Bikes,PHEV,2022,Charging Point,22686,504
Nevada,Commercial Vehicles,EV Sales,Vans,PHEV,2021,Vehicles,2709.21,773
New York,Commercial Vehicles,EV Stock,Vans,BEV,2020,Vehicles,38432.16,622
Colorado,Passenger Vehicles,EV Sales,Buses,BEV,2024,Percent,43606.94,340
Florida,Passenger Vehicles,EV Stock,Buses,PHEV,2020,Charging Point,48194.03,383
California,Commercial Vehicles,EV Stock,Cars,BEV,2024,Charging Point,34594.06,1111
Florida,Passenger Vehicles,EV Sales,Vans,PHEV,2018,Charging Point,31640.01,679
California,Commercial Vehicles,EV Stock,Vans,BEV,2024,Percent,34734.45,49
Illinois,Passenger Vehicles,EV Sales,Buses,PHEV,2020,Vehicles,42746.94,49
Florida,Passenger Vehicles,EV Sales,Cars,PHEV,2022,Percent,40373.93,717
Washington,Passenger Vehicles,EV Sales,Vans,BEV,2020,Vehicles,21980.97,1687
Washington,Commercial Vehicles,EV Stock,Buses,PHEV,2024,Vehicles,32588.55,1104
Arizona,Passenger Vehicles,EV Sales,Cars,BEV,2023,Vehicles,8179.82,1848
New York,Commercial Vehicles,EV Stock,Cars,BEV,2024,Vehicles,34776.79,413
California,Commercial Vehicles,EV Sales,Cars,BEV,2023,Vehicles,36565.45,541
California,Passenger Vehicles,EV Stock,Buses,PHEV,2020,Percent,40085.36,632
New York,Passenger Vehicles,EV Stock,Vans,PHEV,2022,Charging Point,40900.67,484
Nevada,Commercial Vehicles,EV Sales,Buses,PHEV,2024,Vehicles,22051.41,407
Arizona,Passenger Vehicles,EV Stock,Vans,BEV,2021,Percent,45185.49,1063
Nevada,Commercial Vehicles,EV Sales,Vans,BEV,2022,Percent,49049.42,824
Nevada,Passenger Vehicles,EV Stock,Vans,PHEV,2020,Percent,48904.25,351
Nevada,Passenger Vehicles,EV Stock,Bikes,BEV,2020,Percent,29329.47,105
New York,Commercial Vehicles,EV Sales,Bikes,BEV,2018,Percent,28018.19,1530
Nevada,Commercial Vehicles,EV Sales,Bikes,BEV,2022,Vehicles,22920.98,323
Washington,Passenger Vehicles,EV Stock,Cars,PHEV,2018,Charging Point,15059.73,723
Texas,Commercial Vehicles,EV Stock,Vans,PHEV,2018,Vehicles,16754.51,448
Illinois,Passenger Vehicles,EV Sales,Cars,PHEV,2019,Vehicles,10866.03,358
California,Commercial Vehicles,EV Stock,Buses,BEV,2023,Charging Point,47790.56,110
California,Passenger Vehicles,EV Sales,Vans,BEV,2018,Vehicles,31029.35,1241
Illinois,Commercial Vehicles,EV Stock,Bikes,PHEV,2023,Charging Point,46729.71,965
New York,Commercial Vehicles,EV Stock,Buses,PHEV,2020,Vehicles,19417.57,419
Florida,Commercial Vehicles,EV Stock,Bikes,PHEV,2024,Charging Point,14979.92,322
New York,Passenger Vehicles,EV Sales,Buses,BEV,2020,Percent,6723.97,644
California,Commercial Vehicles,EV Stock,Vans,PHEV,2019,Charging Point,15082.27,1780
California,Commercial Vehicles,EV Sales,Vans,PHEV,2019,Vehicles,44519.01,397
Illinois,Passenger Vehicles,EV Stock,Cars,PHEV,2024,Vehicles,29155.58,630
Nevada,Passenger Vehicles,EV Sales,Bikes,BEV,2022,Charging Point,22678.65,359
New York,Commercial Vehicles,EV Stock,Bikes,PHEV,2024,Percent,28455.65,423
Colorado,Passenger Vehicles,EV Stock,Vans,BEV,2019,Vehicles,44645.19,115
Illinois,Passenger Vehicles,EV Sales,Cars,PHEV,2021,Percent,9721.85,1253
Washington,Commercial Vehicles,EV Stock,Cars,BEV,2020,Charging Point,48286.4,1021
California,Passenger Vehicles,EV Sales,Bikes,PHEV,2020,Charging Point,33343.1,310
Illinois,Passenger Vehicles,EV Stock,Vans,PHEV,2023,Charging Point,42781.98,1029
New York,Passenger Vehicles,EV Stock,Bikes,BEV,2019,Percent,26317.8,373
California,Commercial Vehicles,EV Sales,Vans,PHEV,2023,Percent,11908.23,594
Florida,Passenger Vehicles,EV Sales,Bikes,PHEV,2019,Charging Point,28414.97,735
Illinois,Passenger Vehicles,EV Sales,Vans,PHEV,2020,Charging Point,3490.18,354
Arizona,Commercial Vehicles,EV Sales,Cars,PHEV,2019,Charging Point,42624.54,385
California,Commercial Vehicles,EV Sales,Cars,BEV,2022,Percent,32514,127
New York,Passenger Vehicles,EV Sales,Bikes,BEV,2019,Percent,14214.57,1181
Texas,Commercial Vehicles,EV Stock,Cars,BEV,2019,Percent,13796.02,344
Colorado,Passenger Vehicles,EV Stock,Bikes,BEV,2024,Charging Point,45150.02,314
